group	x	y
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0.0835013077081101	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0.553362117176661	0
25	0.531896727952889	0.887910652814318
26	0.528259884449844	0
27	0.644453403606778	0.6079748591874
28	0.615443039255996	0.302618446403318
29	0.643684403491568	0
30	0.195465753869043	0
31	0.82285648148543	0.928964854448595
32	0.787280774576017	0.811193042866578
33	0.695995096768233	0.780769830582829
34	0.738968352177655	0
35	0.612551792548827	0.922650027609834
36	0.824079114588527	0.886818686473157
37	0.783782110236785	0.95136610733503
38	1	0.856818846773457
39	0.794019268769311	0.378418056707061
40	0.755719135589188	0.956659339332512
41	0	0.965988552055619
42	0.882356491487083	0.891776965351358
43	0.462625754694285	0.966870222820133
44	0.293272006022069	0.976341799025164
45	0.76666312271551	0.878120612496235
46	0.939808121416217	0.874150865238919
47	0.499516075120066	0
48	0.704586395042619	0
49	0.0835013077081101	0
50	0.551829585718994	0
51	0.323460806835694	0
52	0.547122076110763	0.264774180505447
53	0.471455823403598	0
54	0.714493688344961	0.766821691226257
55	0.591478484578875	0.750192180357914
56	0.853370356422017	0
57	0.578280558658722	0.648560364906515
58	0.880889310149236	0.588894312343163
59	0.791981188343382	0.863169803508457
60	0.566408154779858	0.971301051867777
61	0.132822773238145	0.610849937848209
62	0.281376456228715	0.77330226397427
63	0.848705338987298	0.926124704825211
64	0.524519500474288	0.760422756848278
65	0.611573896961657	0.927221074700569
66	0.54224008154774	1
67	0.391399685985888	0.512079181877226
68	0.479725553962845	0.640340667320619
69	0.678162164346268	0.757351538915335
